name;calories;proteins;carbs;fat;calcium;iron;vitamin_c
Dessert (aliment moyen);255.0;4.39;32.9;11.3;67.6;1.3;2.42
Salade de museau de porc, avec sauce, préemballée;172.0;8.51;0.89;14.8;14.7;1.4;0.0
Salade de cervelas, avec sauce, préemballée;259.0;7.6;1.93;24.2;0.0;0.0;0.0
Salade de céleri rémoulade, préemballée;114.0;0.94;3.14;10.2;34.0;0.23;3.06
Salade de thon et légumes, appertisée;117.0;9.15;8.13;4.7;20.7;1.1;2.75
Salade composée avec viande ou poisson, appertisée;110.0;8.06;6.4;5.3;22.0;0.7;0.0
Champignons à la grecque, préemballés;76.3;2.07;3.53;5.47;19.5;1.06;6.67
Salade de pommes de terre, faite maison;127.0;2.68;9.9;8.2;19.0;0.65;10.0
Taboulé ou salade de semoule aux légumes, préemballé;179.0;4.88;23.7;6.7;24.0;0.88;6.27
Salade de pomme de terre à la piémontaise, préemballée;130.0;4.5;8.87;8.3;13.0;0.43;21.6
Salade de museau de boeuf, avec sauce, préemballée;118.0;11.7;0.8;7.6;0.0;0.0;0.0
Salade de riz, appertisée;127.0;5.13;16.1;4.35;23.3;0.43;4.48
Salade de pâtes au fromage et légumes, avec sauce;119.0;4.4;13.7;4.8;14.0;0.6;21.0
Salade de pâtes aux légumes et poisson ou viande, avec sauce, préemballée;160.0;6.24;14.2;8.24;24.0;0.95;12.3
Macédoine de légumes en salade, avec sauce, préemballée;129.0;2.5;3.47;10.7;44.0;0.72;5.93
Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;151.0;8.13;4.88;10.0;100.0;0.5;1.11
Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée;168.0;4.06;17.4;8.3;37.0;1.2;0.0
Salade de céleri et carotte rémoulade, préemballée;79.6;1.0;5.43;5.33;0.0;0.0;0.0
Salade de pomme de terre au thon, préemballée;124.0;5.57;8.13;7.7;0.0;0.0;0.0
Salade de pomme de terre à la saucisse, préemballée;156.0;3.08;8.75;11.6;0.0;0.0;0.0
Salade composée à base de crudités, charcuterie et fromage, avec sauce, préemballée;153.0;7.45;4.96;10.9;0.0;0.0;0.0
Salade composée à base de crudités et produits de la mer, avec sauce, préemballée;120.0;4.78;7.58;7.5;0.0;0.0;0.0
Salade composée à base de crudités, oeuf et produits de la mer, avec sauce, préemballée;108.0;4.76;3.77;7.57;0.0;0.0;0.0
Salade composée à base de crudités, poulet et fromage, avec sauce, préemballée;150.0;7.13;5.28;10.8;0.0;0.0;0.0
